279772.09,17361024,2CjmAw7LBum1,50001,EYfa0AcsDQxj1viq,61.50,7.96,
374924.37,12942469,J9zWA6ctg17p,50042,okIbuiq7n2Ss68rU,84.88,9.63,
705659.13,9435186,DckbZrNHJMDj,50083,Mnqst7YPqhk264Ur,50.21,0.88,
736366.60,19329742,LwT6W6OvP2Xo,50124,PomIkN6bxnFsPbw1,46.82,0.65,
351837.68,5612143,21E6HEWGhKND,50165,o0jaY5ZiiKqUu9Kk,92.03,0.29,
236973.11,11637314,ZsjASGLUWdRa,50206,JAVBaSpy9fYMvVYb,86.23,7.03,
654850.39,19161833,OI7LJEdMyqOT,50247,2Ce0TvF9WB3scMiz,92.01,0.80,
944499.23,12668354,12wrOl1nqLrl,50288,qYC9yf2KZfjau3XV,83.86,5.54,
201544.17,6954188,F222dXfp1PUI,50329,WANCWsAlwo3iEOmR,53.87,5.25,
684753.81,9727131,X1z7NFCXZCJU,50370,bEnekGybag4JG51Z,18.73,5.42,
237092.69,1779173,6VES2VbzLVrw,50411,qnoCHnuhoFO1OpE3,61.14,7.02,
970448.43,10982857,5a4ERatMHtoN,50452,TlDcGLWRtwXFdIyD,54.35,3.72,
295350.33,11355417,qWXmyJ7SpBEA,50493,YdoijIImHSWNBxQk,31.52,5.27,
971217.25,2948429,V0XNW5pYbVnb,50534,O8W9aGbEN3gjpMqh,93.70,1.80,
571073.09,1390418,GU3xOdRtItbg,50575,jPQ1LnB8Isizty4Z,0.67,7.66,
892650.62,5103801,9ObzJdpTyeuz,50616,X3jiGcehbnTmovFn,83.30,8.18,
526973.33,18048551,JYGk7YCDCITE,50657,7X69fWFotwPmZjLO,61.11,2.16,
838473.21,18797992,tCk02kPYycmQ,50698,YS5DUJg84Goe5aYP,72.18,2.13,
542377.17,19366551,WbQtXBPb25Dx,50739,kwA7fbXA676Rdq8T,10.06,9.20,
228704.47,1092707,vaenAVa1nE6G,50780,9hl5nMcF3jZ2fuRp,86.96,7.43,
52116.98,18897777,7iq8fbHAORLr,50821,O2K5QSI8zdYxhpSV,16.82,6.00,
923897.83,13781700,C0zbhNESwZ5x,50862,c2fYXxJmMAog86pZ,73.84,8.66,
91291.29,8265722,q9TUiX3iwtMS,50903,EvSd9unKQOvC6K7r,75.70,8.81,
881874.52,17095888,8Fu4jgJEjOaf,50944,3B9wcFF37Ytge3wV,97.27,7.79,
810102.43,4336025,CElodWRnD5Iq,50985,vbgAfIoQBQPWEirt,56.59,2.83,
953629.87,19050574,MEkGWkIOdCU8,51026,ohLZdmBQaVqCCA1b,24.95,1.44,
818961.62,11597170,SfQUHhnAKrEZ,51067,4AMNzJOzVkU4fOK1,43.56,2.46,
48552.32,1514535,WqOelhPaRyWV,51108,K2NFvJLDBSYzdUS6,81.53,1.28,
992623.95,3773690,0mKU1bPrkGbD,51149,IoqaRaKwq47YUYxJ,76.91,1.81,
589391.99,1184767,BivNCKgmWgrw,51190,XRDiPey5WixqQtzU,17.49,7.13,
37855.69,4302220,VPniOB9G5F6E,51231,W90PuOgKUpJfN20g,98.42,0.51,
892552.74,13718061,tqILZYoiDHio,51272,2B90ORWSZz7Jfuc0,23.56,5.83,
5986.57,13319531,27GdGZdNIg0K,51313,MaX4lN1c7qYwOt0U,80.31,8.50,
791643.60,12051883,IDbpVrEUvxHw,51354,OtLZ2UaCNcdKkAz7,70.66,4.88,
412980.17,4797556,SDQX09BjMvei,51395,WnIJPzezsoFkiYIN,79.67,3.21,
648568.56,19085673,g19tRrvFjqA3,51436,xWa8jhIyHVIrTPyy,75.68,7.12,
478064.30,6137621,iLSLd3w6vAQU,51477,SxD1JO5jgL49bNZH,61.01,9.31,
527892.54,5706225,ovcwE0J7Frt4,51518,VAdQDNNNlfXymMFe,77.20,1.07,
