sUr0e94qjGBr0e4HfQc7z2Y,10000,957.81,lt8JIwgDt5,bqWGtFz52XQG4B5l0SRdkeJT3sxo7DVsXwyVHJPBQyxvyT9Ow1mm4pytN8aMiz3wI0Kxv1IExsTM9tf0BDCwaPjeULTU4KObCCoz,50001,
iBo2KArxjwUuIc21pwuKwz2,10017,996.30,5hmYGXpMsO,QjwO8F6dqtMxWM1EWBFLExRDAvem77WqEAN6OpwiBlEDByyOuyE1ahMVkyFxcE6t1acHwDJGB0oBsB2PqJXVMz3yC2B5kchCwAX0,50001,
TlXc8mdkf9iI1aPA54bX8Cl,10034,808.14,OnNmCmqghJ,BwQhsfeT8KOmQWJRRPpzU5LswEFqXWxX4ekuCtba2soOPXFk3SXZ2FERtZgOJx0jqEc6Nx7dFinPVOaQHHaxGyAaymFuLPymP6sN,50001,
WPw3tpug2ZVzANkiNmslEdv,10051,795.95,0qQz7coPuN,Nxu8m56aqsPiJ8hKuIuUvxMmksAEBQNK0d7Wua7LmxZBA9pwnSG6H66BRliGlAe3tbTfErRr81aA4Rm4ubxm9Lx2Nh7VHhDdy6r7,50001,
9zkANTAUqyo9o8eURiiXTpv,10068,584.84,3TDICf6BnS,Y4MZ3Kh1Ili4TqyCY25qgdlksfZmiduRa56bsB7ckTcayuhc28bmhFHIuHPnAHMukPIkiUEGRmZ1xxCUc9hFFkEjQUYUWKoPO99Z,50001,
9bexsUePXvd5RFWnElC3qtW,10085,226.13,t2OUwmQiV7,50alYum52h7sdQrKOvCnKKLzbw4H2gEPKBkTsQuzOc9ZEtqqJInd5ONZhptIILiQcWBydjaeCWDVvYtmWw6E3dE8UGA5Ii9mhoSW,50001,
S8ztUy90dRH5FyUZBOGCMuV,10102,817.65,z91lBn9nDq,UhFf60bwIb8tBvmKswWYaJYvuYlbPfrDa0zBKgbvpm0iIxj3DmY0Z95OLd85BKjb87rODlGwzrwwTAFLmq0auUvH56jwuc4GS6r5,50001,
qBxeVu8oMtPrp5XnrOdGK70,10119,783.97,gJc5AHxkcl,xqLg15vVKXBvcu7zj2NNAxuTvXbLzJBy8NTywJbjnmHjyXNicIWhs9cKd53pMPclC5539AxrCa4zw3TCEXwr68JlfzuDY5L6sMzG,50001,
qfF9vCUl0J5YilDt5vK38lk,10136,888.24,NdkOQnR3a6,j7bSIZt93J3Pkpc237xVwyTL5nFU34GP8vVGw455pl5IeIjrn5aLIj7YncaeR83N8iAiJRNjmjKgGhUR53QldIUUfnSRHB8KcGQY,50001,
oWdRZ7rCgDZZKCishGdKDpj,10153,158.35,ZjfwpuWQo6,5hYSaUJZIps1DrQ4cirOkHfPmb9euhtSwtHmvX0T6lkpMUnbIKMNsoa9dAVmrGmj4fq3SnNRUa2kfgg9i24B3esKJwmYs65lsBb7,50001,
Tww1H8yP1IXW06q8wgboxVo,10170,301.17,bdbQFXFM2X,s52Ezods8fRHsStZre4D2B0qT5Dhmq4Af1QFP9MSo8hwCtJzlceVaaZFrOIGfE4srW7DJKVvgYOYwHmC9c489JeVLiEOIEhqQbA8,50001,
ymOMvqHG3Vv7dFxwu22rjZx,10187,851.92,0asm1t1R18,1Rh6Vtq9V2jnwusRd36ijF3E5CjbuHTIyzHP0BJW3s0p5NevRyiAh2vU4ul7ahCztp5tbsZpzDsz2oTELttsTe4FBHWpAgpnQnHx,50001,
CmRqgoCH24aoXdPruV4lWg8,10204,259.53,UXqG66v9R4,qZB0ZXU9ey4Pc36yDNLixHIm6OXkPAMcgsAcU2y3hWL0TIxoDjwwFO4R5bwvU5n21CLZhky5IbxUxYgiTrD7whppSTUOiVcuyQRS,50001,
L7wPxvzNbGfruJzbTG1O2n3,10221,344.25,4TmG4sUPAd,Sbvggan5RT1c8lXREG9pVKszVQDm0iKr6rQyLxrqLbkXvvsy4cKMrqKxdssv6FQs0YkvyhvSoMyBUejSiJkLLu5QXYVpU4Z4NfCz,50001,
88O1KsFbSWgdDTaGD8rRjqp,10238,80.57,25C5y1ocTz,kFCvKqpWaUGAjMlKJdogdni0WVQd1Sm5RvczJe8134NTIjKZxnTnRfzzVC42QirFcvClpBRNVl546vmaqwn5Qj8cAXsz93xk34rF,50001,
r5Mmlj1o1BESNRkWgfTiNLP,10255,456.10,vjDpBqUvSU,69jjDgRgdGoGN8SG8IZ2yD7VDZ38NZ8BdMIlU513UAJCCxM1kbKm2wRGmzs0T6ynFk75M1AaE4Dr5jwMZowYE2IfDbmNyjC9q9cH,50001,
IrNga8sdNLsftQyVkFcf5xA,10272,236.29,wal613D224,2K3n9rdPnqN95eQ6iir0HTvenusHuNRkJR0B7fl4ezywsB5y7Y8CefyzwW6RhorNpRmaEmndGdIopdZg7YmVxvTQYfoTZXbQoNoQ,50001,
2GlNvmeJJjW3SlNRuGSgGCd,10289,825.23,diIDSNmVLM,DqKWD377bk7kZ2n8pfGTTEDfMdhX1JPkrigCQkqfGU9mPNkRWBoEOLThSN4zL1SYrDj9GKuM1B7AuNQL7yHDk958ZtMzStIrbsR0,50001,
9jJOBnalKsP8vdM1e196DfG,10306,54.33,YB11SxADU6,ghUMhp74lIflfxjtrE758HigvMcAwO01HXZ0EOeP6B714yhQp3Ago5yk9SDqYvsjvnXn4ZoCldqOBLZ0WvtfhYbptnn3xPFm8ZXk,50001,
RMSuuRYuKhuYwKtbY9ffc2p,10323,653.61,meAr6qUG2h,8cMnaK9ZR8Tb4Mxi7mX0DW2IaemVYQDnJX1gNsXgFvtyssxTopnPXFg4NpZVX5kCk9lKelbHVlySVuTDO6k7FCvwO8GcYBKGt2ro,50001,
yYPWcf9jM6ohyNvllx7QWIF,10340,364.21,MSYVXuz8yT,vmO4rfcC1gFWaWWcVNpr5kr5w2aUu9YoBBeMyoyAFoOySMq9sgqF21WYqcFTe48gNe2WPHFTX1QPQ6TriDOubBpBBuPM93f7Jwx8,50001,
YLSg0hIue0ndC12S5hEdFXe,10357,136.46,rqCY0dH7aw,x8FjkFJFsNtdhuKSykydWJTFq3HdTYoE5h2KncIbKmTcO0C7dOtKFmbP2jcMHDG0WI1TrUSRlCBVGyqfLWsY3doFinXIn9R87MeK,50001,
3H95BlgFtCSmXTpoNGtDulx,10374,624.07,t2Ajb9rqli,EVZESTwIduwQkTCh5iEXyZ9d7fRIRbcxoviPMGMTGwYa8cBnDc40oG92cNv66PQz4RauHpFUI8WZLeo6kDsS4MQio5f5pE6q7HQ3,50001,
CEP3ZwhtqeK3k75OpNpkaGJ,10391,233.05,58JKjIcwDF,JjGqo9LQphJJ8RTd73tVxo3MQpL1DmtCRq3ZwmVFEUjcTKWvGNpy4lzkpdDKfaFlUhDkcyJYA3HsAQ7alG7G1zYu1f6yljK65Zyz,50001,
oN08X5syVLaK3AUD94kIqBb,10408,313.12,NtmKqAGlXB,QDzxHPufpEAdsNaosLezUX1lgBmiM3BhVFRGbKoBVUSGnBx6pKjAITDLO8fGA6c3wFtgSz5aBgdbwQ1TZ8mlHR7TKAnDX4XJvtGt,50001,
